Elevation,Gen_Desc,Lab_Ver
7.5,Clay,Field Verified
5.5,Clay,Lab Tested
3.5,Sand,Field Verified
1.5,Sand,Field Verified
-0.5,Sand,Lab Tested
-5.5,Sand,Field Verified
-10.5,Sand,Field Verified
-15.5,Sand,Field Verified
-20.5,Sand,Field Verified
-25.5,Sand,Field Verified
-30.5,Sand,Lab Tested
-35.5,Clay,Lab Tested
-40.5,Sand,Field Verified
-45.5,Sand,Field Verified
-50.5,Sand,Lab Tested
-55.5,Sand,Field Verified
-60.5,Sand,Field Verified
-65.5,Clay,Field Verified
-70.5,Clay,Field Verified
-75.5,Clay,Lab Tested
-80.5,Sand,Field Verified
-85.5,Sand,Field Verified
-90.5,Sand,Field Verified
-95.5,Sand,Lab Tested
-100.5,Sand,Field Verified
-105.5,Sand,Field Verified
-110.5,Sand,Field Verified
-115.5,Sand,Field Verified
-120.5,Sand,Field Verified
-125.5,Sand,Field Verified
-130.5,Sand,Field Verified
-135.5,Sand,Field Verified
-140.5,Sand,Field Verified
6,Clay,Field Verified
4,Sand,Field Verified
2,Sand,Field Verified
0,Sand,Field Verified
-2,Sand,Field Verified
-7,Sand,Field Verified
-12,Sand,Field Verified
-17,Sand,Field Verified
-22,Sand,Field Verified
-27,Sand,Field Verified
-32,Sand,Field Verified
-37,Sand,Field Verified
-42,Sand,Lab Tested
-47,Sand,Field Verified
-52,Sand,Field Verified
-57,Sand,Lab Tested
-62,Sand,Field Verified
-67,Clay,Lab Tested
-72,Clay,Lab Tested
-77,Sand,Field Verified
-82,Sand,Lab Tested
-87,Sand,Field Verified
-92,Sand,Field Verified
-97,Sand,Field Verified
-102,Sand,Field Verified
-107,Sand,Field Verified
-112,Sand,Field Verified
-117,Sand,Lab Tested
-122,Sand,Field Verified
-127,Sand,Field Verified
-132,Sand,Field Verified
-137,Sand,Field Verified
-142,Sand,Field Verified
5,Clay,Field Verified
3,Clay,Field Verified
1,Sand,Field Verified
-1,Sand,Field Verified
-3,Sand,Field Verified
-8,Sand,Field Verified
-13,Sand,Field Verified
-18,Sand,Lab Tested
-23,Sand,Field Verified
-28,Sand,Field Verified
-33,Sand,Field Verified
-38,Clay,Field Verified
-43,Clay,Lab Tested
-48,Clay,Field Verified
-53,Sand,Field Verified
-58,Sand,Lab Tested
-63,Clay,Field Verified
-68,Clay,Field Verified
-73,Clay,Lab Tested
-78,Sand,Field Verified
-83,Sand,Field Verified
-88,Sand,Field Verified
-93,Sand,Field Verified
-98,Sand,Lab Tested
-103,Sand,Field Verified
-108,Clay,Field Verified
-113,Sand,Field Verified
-118,Sand,Lab Tested
-123,Sand,Field Verified
-128,Sand,Field Verified
-133,Sand,Field Verified
-138,Sand,Field Verified
-143,Sand,Field Verified
8.5,Clay,Field Verified
6.5,Clay,Field Verified
4.5,Clay,Field Verified
2.5,Clay,Lab Tested
0.5,Clay,Field Verified
-1.5,Sand,Lab Tested
-4.5,FALSE,Lab Tested
-9.5,Sand,Lab Tested
-14.5,Sand,Field Verified
-19.5,Sand,Lab Tested
-24.5,Sand,Field Verified
-29.5,Sand,Lab Tested
-34.5,Clay,Lab Tested
-39.5,Clay,Field Verified
-44.5,Clay,Lab Tested
-49.5,Sand,Field Verified
-54.5,Sand,Lab Tested
-59.5,Sand,Lab Tested
-64.5,Clay,Lab Tested
-69.5,Clay,Field Verified
-74.5,Clay,Lab Tested
-79.5,Sand,Field Verified
-84.5,Sand,Field Verified
-89.5,Sand,Lab Tested
-94.5,Sand,Field Verified
-99.5,Sand,Lab Tested
-104.5,Sand,Field Verified
-109.5,Sand,Field Verified
-114.5,Sand,Field Verified
-119.5,Sand,Field Verified
-124.5,Sand,Field Verified
-129.5,Sand,Lab Tested
-134.5,Sand,Field Verified
-139.5,Sand,Field Verified
-5,Clay,Lab Tested
-7,Sand,Field Verified
-9,Sand,Field Verified
-11,Sand,Lab Tested
-13,Sand,Field Verified
-15,Sand,Field Verified
-17,Sand,Field Verified
-22,Sand,Field Verified
-27,Sand,Field Verified
-32,Clay,Lab Tested
-37,Clay,Field Verified
-42,Clay,Field Verified
-47,Sand,Field Verified
-52,Sand,Field Verified
-57,Sand,Lab Tested
-62,Sand,Field Verified
-67,Clay,Lab Tested
-72,Clay,Field Verified
-77,Sand,Field Verified
-82,Sand,Field Verified
-87,Sand,Lab Tested
-92,Sand,Field Verified
-97,Sand,Field Verified
-102,Sand,Field Verified
-107,Sand,Field Verified
-112,Sand,Field Verified
-117,Sand,Field Verified
-122,Sand,Field Verified
-127,Sand,Field Verified
-132,Sand,Field Verified
-137,Sand,Field Verified
-142,Sand,Field Verified
-147,Sand,Field Verified
-152,Sand,Field Verified
